F1	F2	F3	F4	F5	y
21.29	1.517	736.0648271805233	P	B	0
10.2	1.553	789.5496315687938	P	D	2
-5.390000000000001	2.462	687.8425698329502	Q	B	3
-37.25	3.785	653.2608499832693	Q	A	1
7.46	-0.887	461.89214823913846	P	A	2
-13.19	-1.307	489.1141536313452	P	C	2
47.9	-0.506	695.6312322893432	Q	B	0
14.530000000000001	-1.838	345.5478838168232	P	A	2
-4.38	2.609	704.7185116693247	P	B	3
-8.629999999999999	2.163	748.076298013119	P	B	3
-12.030000000000001	3.687	557.3543761901803	P	C	1
4.55	2.294	628.836684034144	Q	C	1
-20.790000000000003	-2.084	601.1571882719978	P	D	3
13.69	-2.181	495.62974108095585	Q	D	0
-18.5	1.473	544.5037755523098	P	A	1
-15.41	-1.542	465.6147068697487	Q	B	1
-29.860000000000003	-2.098	513.4648894475478	Q	B	1
-19.37	-1.334	357.44054019273096	P	A	0
-18.55	1.121	779.1090516718649	P	B	3
-22.47	-2.618	661.0324713283203	Q	C	2
-28.47	2.265	504.0343966634679	Q	A	1
2.38	-0.574	641.7368298215281	Q	A	2
-15.52	-1.648	712.1350540734779	P	D	3
11.719999999999999	1.169	342.3758486411751	Q	D	2
-23.46	1.723	530.8343903235078	Q	D	1
13.100000000000001	1.607	523.7528316324914	P	D	2
-23.700000000000003	-1.977	783.338454318871	Q	A	0
-1.45	-0.646	625.2821149575573	P	A	0
13.91	2.543	586.1929335846287	P	A	3
-5.75	2.159	421.61945351195914	P	B	0
34.8	-0.082	411.11304685388166	Q	C	1
9.54	-1.263	272.0761801489109	Q	A	2
20.880000000000003	1.089	431.30781228467083	Q	C	1
2.9299999999999997	-0.705	734.9432115913294	Q	A	0
20.76	0.998	649.2005680865052	P	B	0
26.509999999999998	-3.494	307.21283911892596	Q	C	0
14.15	-1.833	510.7441996821522	Q	B	2
8.68	-0.58	519.7423918369685	Q	B	2
8.08	-0.717	852.8730414898416	P	D	0
11.57	0.207	700.5675474885022	Q	B	2
-24.3	2.001	520.4844854452551	Q	A	1
-7.46	-1.206	643.232413755859	P	C	2
15.95	0.603	303.05968350956636	Q	A	3
-20.57	-1.669	440.94048914618224	Q	A	0
-26.05	0.382	484.74285620220724	P	B	3
-13.040000000000001	1.188	483.7279968769469	Q	C	3
13.69	2.748	427.8214420392024	Q	A	3
-27.799999999999997	-2.862	534.1966288392699	P	A	0
-24.04	0.555	533.7787820458927	P	B	3
17.27	-0.8	552.7331606827951	P	B	2
8.219999999999999	1.589	577.2225187029934	P	D	2
-16.619999999999997	1.267	542.9351694359366	P	D	1
-6.97	-1.073	883.5493690205269	Q	A	0
16.59	-0.006	628.7354525815825	P	A	3
-10.74	1.813	547.827400123663	Q	A	1
-21.85	0.781	797.1193180525876	P	B	3
-23.53	-1.965	671.5962887495937	P	B	1
13.38	1.58	806.4947909172561	Q	C	1
21.5	-1.587	513.6027495268959	Q	A	2
-15.25	1.546	438.0079199077828	Q	C	3
-14.05	1.609	538.0432703046575	Q	A	1
34.22	-0.012	480.48596416914665	P	C	1
-22.91	3.987	489.95929821894345	Q	C	3
-16.619999999999997	1.835	655.9197416969646	P	C	3
15.700000000000001	0.838	269.73130382325155	Q	A	3
21.69	-2.63	693.835759825848	Q	C	0
-0.24	-0.802	438.7954299549085	P	D	3
-24.52	-1.978	555.1462254909063	P	C	2
-9.54	-1.178	575.1733613289962	P	C	3
39.04	-0.314	758.774955553391	Q	C	1
-17.23	-1.303	330.88966644482156	P	A	0
-7.47	-1.165	691.0927328636789	P	B	1
-0.26	0.422	694.6249671238104	Q	A	1
17.549999999999997	1.358	752.8519662724716	Q	C	1
14.379999999999999	2.092	966.7060437906168	Q	A	3
12.31	-1.027	620.1515090354765	Q	C	0
13.43	-1.496	246.18175476574362	Q	A	2
15.629999999999999	-2.188	456.78122567378796	Q	A	2
15.56	0.917	629.4043164146566	Q	A	3
-8.01	2.237	736.7950422092757	P	B	3
-2.7	-0.812	714.440661926609	Q	D	3
17.42	1.516	498.25941273859	Q	B	0
-22.54	-2.387	542.4798541708283	Q	A	0
3.83	2.364	651.1281460043053	Q	B	0
18.44	-1.991	542.9746116231605	Q	C	0
18.53	-2.338	829.6150977949256	P	B	2
-16.55	-1.566	587.036313366863	P	B	1
24.380000000000003	1.237	195.5289233499152	P	D	2
16.63	-2.33	703.9532306194737	Q	A	2
-15.8	2.173	611.2529340228222	P	C	3
-10.58	-0.767	763.0451196077291	P	A	0
-18.02	3.079	901.8511997559981	Q	C	3
-19.990000000000002	-2.235	924.3722397195877	Q	C	2
13.66	-1.28	510.3015918890053	P	C	0
24.28	-2.48	643.966579235996	Q	A	2
11.99	-1.438	761.9378242877474	P	A	2
29.950000000000003	1.155	525.6998211954162	Q	D	2
10.700000000000001	1.791	605.3377103868596	P	D	2
40.76	1.265	552.2647162451719	Q	D	2
-5.19	-1.069	472.0877733531599	Q	B	1
-32.89	1.32	466.180903683161	P	D	1
-9.83	1.578	554.6715708265413	Q	A	1
-21.02	-1.981	430.25982388116347	P	C	2
-4.35	-0.949	593.9224155410459	P	B	1
-11.850000000000001	1.802	581.6196331127098	P	B	3
-9.719999999999999	-0.67	741.3887978001284	Q	C	2
14.12	-1.427	598.0744967381347	P	A	2
13.22	3.19	325.8487188143428	Q	A	3
15.940000000000001	-1.666	548.437229094621	P	C	0
-18.15	2.424	414.99224259465564	P	C	3
-21.03	0.867	583.815743624311	Q	B	3
33.18	1.057	854.9852002364415	Q	D	2
-18.169999999999998	-1.534	464.89276211841593	Q	C	2
16.279999999999998	-1.702	727.247670296254	Q	C	0
20.45	-2.426	694.3552389385483	Q	B	2
16.39	-2.417	625.709636887072	Q	D	0
12.1	-1.04	455.46032810789285	Q	C	0
-2.63	-1.899	859.2249393068666	Q	A	0
29.860000000000003	0.271	493.20484198370525	P	B	0
13.84	2.623	430.1238035214749	Q	A	3
-18.98	1.331	624.1500926237843	P	A	1
8.65	1.983	424.9598209069562	P	C	1
-10.75	0.713	332.9124000692605	Q	C	3
-26.709999999999997	-2.082	643.0487129172101	Q	B	1
-9.41	2.051	397.626960733823	P	B	3
-12.18	-1.362	702.9171031768415	P	D	3
19.29	-3.62	875.366030655611	P	D	0
15.700000000000001	-1.584	518.2043274055101	Q	C	0
14.78	-1.49	594.0781334383485	P	C	0
20.08	-2.358	590.475770495034	Q	C	0
-11.06	-1.405	796.6309121172195	P	D	3
-4.31	-0.985	695.7573218484258	Q	B	1
-21.21	1.085	450.8074402511355	P	D	1
-12.569999999999999	-0.482	682.949728041846	Q	A	0
-22.79	0.701	602.7788727134147	P	B	3
12.76	1.508	614.6301852261939	Q	D	2
4.93	-1.065	671.9608585839443	Q	A	0
-36.21	2.766	709.3174097284209	P	A	1
-9.43	1.454	394.06114884608985	Q	A	1
-21.47	-2.056	612.715320035829	P	C	2
25.93	-4.195	884.840231004428	Q	B	2
9.290000000000001	-0.965	630.6454072779171	Q	A	2
-26.68	-2.253	755.1299120189501	Q	D	3
15.72	-2.237	645.6492894758998	P	B	2
-18.13	1.792	871.2007222158591	P	A	1
11.879999999999999	-0.367	247.2918679306132	P	D	0
14.950000000000001	-0.664	491.33986548781854	Q	D	0
1.28	2.097	695.9458560253868	Q	B	0
19.94	-2.142	720.193414446518	Q	D	0
-25.74	-3.291	306.8980155000122	P	A	0
-14.17	1.559	835.7306923478235	P	A	1
14.290000000000001	-2.104	544.2045305236043	Q	B	2
-28.990000000000002	0.09	392.04381211578027	P	B	3
-1.8599999999999999	2.316	485.39844526412116	Q	B	0
-7.41	-1.298	683.7247108881895	P	D	3
-12.729999999999999	1.417	595.0453432244242	P	A	1
-10.600000000000001	1.413	396.8839280588208	Q	A	1
-22.07	2.085	369.91188183716986	Q	D	1
-15.53	1.587	773.8596525938495	P	D	1
-27.63	-2.699	516.4335400899018	Q	C	2
13.95	2.488	539.0558131309247	Q	A	3
-4.2	-1.272	803.330010859755	Q	D	3
-28.94	1.293	631.7867889958817	P	D	1
13.59	-1.256	762.4584324675986	Q	C	0
18.39	1.337	748.6835223947877	P	B	0
12.48	1.549	451.52137040780167	Q	B	0
15.440000000000001	1.539	783.8376687592445	Q	C	1
14.950000000000001	-1.573	876.7361984454843	P	C	0
-0.8699999999999999	1.558	771.3903827387811	P	D	2
18.05	-1.275	480.08856010896244	Q	A	2
1.49	1.373	562.1210574180457	Q	D	1
6.640000000000001	-1.244	707.1001673610609	P	B	2
-23.42	-1.773	600.0221867280375	Q	D	3
-3.19	1.735	633.3226687916219	P	D	2
-14.64	1.519	335.49824973465195	P	B	3
-4.069999999999999	0.128	630.0113039050026	P	A	1
-11.579999999999998	0.431	820.0712836912	P	C	3
-17.549999999999997	1.965	583.2016896974689	P	C	3
-18.26	-1.841	675.5882059261919	Q	D	3
-24.42	-1.594	589.8124363462097	Q	D	3
5.32	2.295	446.7710114538962	P	C	1
-12.41	1.775	523.2264890962256	P	B	3
14.13	-1.376	596.2096376851672	Q	C	0
13.01	-0.877	719.0772069842488	P	D	0
-17.4	0.361	552.8193224762858	P	D	1
-18.740000000000002	1.126	466.98436213202365	P	B	3
15.45	1.03	393.92017640552507	P	A	3
-11.020000000000001	-1.435	625.8372881255876	P	C	2
-4.96	-1.207	960.3009555466031	Q	D	3
18.93	1.173	509.57341871701453	Q	C	1
7.720000000000001	-0.305	434.40192423245674	Q	C	0
-27.85	2.397	665.8803656448963	P	A	1
16.65	-0.079	374.8909236444921	Q	A	3
-1.9	0.464	615.9845001386723	Q	D	1
-17.48	-1.462	650.3920627984561	P	C	2
-16.86	1.791	433.7579915190812	P	C	3
13.360000000000001	-1.335	639.874524356871	P	A	2
16.419999999999998	0.116	589.4027460552223	Q	A	3
12.709999999999999	1.712	824.1618416879526	Q	C	1
7.98	-1.549	596.5122149679929	P	B	2
-17.24	2.277	407.0215790921397	P	A	2
-13.89	1.107	431.21070018213004	Q	C	3
15.43	1.446	478.1566404457981	P	C	1
20.009999999999998	-2.319	870.9216059349268	Q	C	0
-20.06	-1.168	997.7814134767495	P	A	0
-13.280000000000001	-1.112	212.17472294881458	Q	D	3
29.660000000000004	-2.229	770.1109141357686	P	A	2
-20.07	-1.717	559.9529471179837	Q	C	2
13.53	-1.422	504.818874059624	Q	B	2
-21.21	-2.092	420.7101519752098	P	D	3
4.84	2.327	856.4578193052319	P	C	1
1.32	0.401	1046.5741459134263	P	A	1
-6.07	1.034	410.9964567707044	P	D	1
15.16	1.326	783.7137288705043	Q	A	3
30.03	1.183	375.33557096987454	Q	D	2
21.810000000000002	-2.703	407.5410117406003	P	C	0
-13.18	-0.954	733.5639735301531	P	A	0
18.37	-2.265	668.849165282413	P	D	0
-13.81	1.128	797.5272377054907	Q	D	1
10.2	1.729	578.1908422571312	P	B	0
15.629999999999999	-1.832	722.6996758858152	P	D	0
-10.87	2.267	871.1793526905501	P	B	0
-15.37	2.929	415.222907193089	Q	D	1
20.790000000000003	-2.057	589.6685417411695	Q	A	2
14.11	2.364	703.9551545204835	P	A	3
46.120000000000005	-1.053	476.6079311078621	P	C	1
15.24	1.296	612.7380682411018	P	A	3
-37.17	-2.613	536.274475254869	Q	B	1
-2.3899999999999997	0.115	659.7279579005367	P	A	0
-17.37	2.817	541.7215376159061	P	C	3
-2.1	0.771	441.8596313554806	Q	D	1
14.33	-2.706	723.7515708626519	P	B	2
-15.489999999999998	1.547	694.2587407217786	Q	A	1
15.309999999999999	-1.491	551.2023795186022	Q	C	0
-30.259999999999998	2.295	750.5395790505257	Q	D	1
8.53	-0.38	269.6130887976116	Q	C	0
9.370000000000001	-0.384	467.9299043437985	Q	B	2
-10.920000000000002	1.918	563.7733690346693	P	B	3
12.88	1.875	248.20560367056328	P	D	2
13.819999999999999	1.668	719.3184324496691	P	C	1
-22.02	-1.905	306.02005086336044	Q	B	1
14.05	-3.761	848.2243148974962	P	B	2
15.600000000000001	-2.07	499.83108899099625	P	B	2
-16.78	-1.887	748.0474866142451	P	A	0
23.15	0.936	605.1144969615335	P	B	0
-17.68	-1.793	785.2235132642279	Q	D	3
-15.1	1.476	705.5760262308852	Q	B	3
9.14	-0.468	706.1644762941554	P	C	0
16.95	1.394	454.88904635503354	Q	C	1
-7.57	-1.378	565.0790601050397	Q	C	3
15.069999999999999	1.27	681.9425670183472	P	D	2
9.08	1.972	774.9274657790622	Q	C	1
-6.550000000000001	-1.055	770.669869240041	Q	B	1
-23.730000000000004	4.577	558.2236648351818	Q	C	1
28.03	1.031	564.1226153928336	Q	D	2
11.99	-1.028	668.6198004709773	P	C	0
-6.959999999999999	-0.511	484.45902022773265	Q	C	2
-15.229999999999999	1.533	639.666100444586	Q	C	3
3.15	2.239	512.0251941425724	Q	B	1
-6.5600000000000005	0.923	533.5758747845806	P	A	1
-28.5	2.547	754.5259209707475	P	A	1
5.09	-0.949	456.3389823655672	Q	A	2
-3.15	1.996	705.5517513136991	P	D	1
2.16	0.011	600.2823074694311	P	C	2
-14.25	-1.056	822.6950995196612	Q	A	0
-8.32	3.371	651.6991837911844	P	C	1
17.689999999999998	2.273	623.341476636331	P	B	0
-11.07	-1.168	600.8296910435452	Q	D	3
-31.589999999999996	-2.41	671.6837826866074	Q	B	1
-34.17	-2.994	245.46268203250924	Q	A	0
-22.42	-2.304	602.0881952026004	Q	C	2
-20.68	-1.971	669.8305987857947	Q	C	2
13.69	0.012	699.0991881441014	Q	B	2
14.66	1.837	706.6133163217654	P	A	3
13.22	-1.088	510.07251195061315	P	B	2
14.33	2.119	452.45769300454697	Q	A	3
19.03	-3.289	740.5286558341647	P	D	0
-18.720000000000002	-1.744	563.332100531826	Q	B	1
-6.69	2.331	594.2868385789105	Q	B	3
2.7800000000000002	2.489	866.6425328891289	P	C	1
-1.33	-0.73	591.657596111998	Q	D	3
-10.440000000000001	-1.87	481.0496023456358	P	A	0
-5.699999999999999	2.061	884.3258175105086	Q	D	2
-11.100000000000001	-1.063	624.908370773158	P	C	2
-14.1	1.605	630.1642138171479	P	B	3
-13.629999999999999	0.711	395.7815194548508	Q	C	3
19.67	-1.719	500.64776577521286	Q	A	2
-13.420000000000002	1.683	553.5667178518044	P	B	3
-7.08	0.47	419.8717213361464	P	A	1
0.75	1.82	514.3428356388594	Q	D	2
37.43	-0.257	600.498103155392	P	C	1
9.399999999999999	-0.525	559.3704437485786	P	C	0
8.61	-1.617	622.1709460587446	P	A	2
17.310000000000002	-3.051	538.3695883040391	Q	D	0
-14.97	-1.569	806.4558120372585	Q	B	1
-18.189999999999998	-1.8	410.28700820109543	P	C	2
-16.810000000000002	1.246	517.9879050101704	Q	D	1
12.77	-0.26	712.446920703062	P	A	1
17.59	-2.196	482.98913539464206	Q	D	0
18.28	-1.657	523.5680001401347	P	D	0
15.69	0.832	738.2849818348761	Q	A	3
15.540000000000001	-1.628	513.7806046042363	P	A	2
-12.04	-0.751	626.4659146402789	Q	A	0
15.37	1.109	736.3016815248328	Q	A	3
-19.47	1.038	845.4615207779998	P	B	3
-17.76	-1.49	497.3343282710556	P	D	3
10.89	-0.686	455.4270394120231	P	D	0
14.74	1.103	593.3531725610505	Q	B	0
16.490000000000002	-1.813	861.3948790299671	P	C	0
0.55	0.079	422.27409823590403	Q	C	1
-24.049999999999997	-1.564	541.2848669275475	P	D	3
19.0	-2.221	666.8308131861837	Q	C	0
-14.81	1.426	800.8268601676134	P	C	3
15.03	1.431	382.4496988821168	Q	A	3
-17.35	-1.767	537.4195565183813	P	B	1
-12.8	1.714	591.2800298778271	Q	B	3
9.41	-0.186	647.008059712535	Q	B	2
-28.47	0.134	838.1958026253116	P	B	3
-16.619999999999997	2.337	788.8435767529527	P	C	3
-13.73	1.591	667.4728658113104	P	C	3
-15.940000000000001	1.198	661.7280466607665	P	A	1
-14.97	3.057	488.10142528154404	P	D	1
-2.88	1.534	494.10562470393495	P	D	1
-7.18	-1.165	521.6907754643796	P	B	1
14.610000000000001	1.881	512.102575173213	Q	A	3
25.41	1.077	474.5091017860148	Q	B	0
16.09	-1.67	533.9827744798058	Q	C	0
-21.110000000000003	-1.763	572.5249299635452	Q	D	3
19.75	-2.27	627.4715725192736	Q	C	0
18.64	-2.093	527.6074390830794	Q	B	2
31.200000000000003	0.308	816.7532991259782	P	C	1
-18.580000000000002	-1.921	612.0595245617795	P	D	3
17.94	-1.328	653.2344944129666	P	D	0
10.540000000000001	-0.772	283.6705354989743	P	C	0
-3.2800000000000002	2.842	568.8152020607796	Q	B	0
-10.52	-1.252	722.2742578412492	Q	B	1
-24.57	-1.979	583.1246078796888	P	B	1
2.62	1.924	319.95500621856837	Q	D	2
3.85	2.086	336.83998141239425	P	B	0
-23.330000000000002	0.615	668.2186821084649	P	B	3
-9.86	1.224	486.4196299686401	Q	D	1
26.720000000000002	1.007	841.8696788535983	P	D	2
-20.49	-1.754	567.3434015934328	P	B	1
-16.8	2.525	563.700706657333	Q	C	3
14.52	-1.854	749.8016465066969	Q	B	2
6.23	-0.041	496.6859118642192	Q	A	1
14.510000000000002	-0.521	379.3958812545101	P	D	0
-19.35	1.099	650.1963597163991	Q	D	1
-15.88	-1.595	341.74290557222366	P	C	2
-16.63	-1.287	466.1195725662756	Q	D	3
-14.04	1.014	671.0578963442666	P	D	1
-24.36	-1.661	579.9466525731566	P	A	0
-12.170000000000002	1.779	762.0064039886025	Q	B	3
13.759999999999998	-2.34	444.3675849862067	P	D	0
-11.57	1.041	683.1873323911249	P	C	3
18.68	-2.14	580.1928859384037	Q	C	0
-21.419999999999998	-1.861	544.9804129375167	P	B	1
-27.490000000000002	-2.185	509.5401926935934	P	B	1
13.78	-2.89	584.448588827453	P	B	2
18.39	-2.15	656.5027661308077	Q	A	2
-13.209999999999999	0.669	663.3818752821606	Q	C	3
-40.59	-2.202	479.5623054824074	Q	A	0
-30.270000000000003	-0.048	452.6208660235893	Q	B	3
3.21	-0.402	409.8498063714849	Q	A	0
-18.46	-1.773	473.5817455886241	Q	A	0
-2.3400000000000003	0.123	585.8416481229274	P	A	1
4.72	1.762	729.9324345139152	Q	D	2
-15.69	2.585	555.6623258133639	P	D	1
-5.629999999999999	0.88	810.571536446739	P	A	1
-17.99	-1.864	216.31142706414573	Q	D	3
-40.4	3.578	304.1098342621962	P	A	1
14.7	1.791	624.6885069175484	Q	A	3
20.03	1.306	675.9961678749808	Q	B	0
14.079999999999998	-1.391	465.9740221106962	P	A	2
13.83	-1.708	746.0273783719815	Q	A	2
24.0	1.385	544.4668132084608	P	D	2
-11.459999999999999	-1.544	557.6242944312374	P	A	0
-20.96	-1.58	730.0475972153906	P	A	0
-25.29	-1.259	459.3980616072687	P	A	0
-17.04	1.52	660.0057477129758	Q	D	1
21.400000000000002	1.338	568.9792837413917	P	B	0
21.33	1.565	685.7039003437435	P	B	0
14.42	2.097	540.2839967529013	Q	A	3
26.96	1.61	562.6660974982315	P	B	0
-9.719999999999999	-0.254	504.6995196584593	P	C	3
-8.129999999999999	-0.993	679.5821996624863	Q	A	0
-28.05	2.587	557.628400133846	P	A	1
24.72	1.509	783.1600751969697	P	D	2
32.29	0.08	587.0800504046355	Q	C	1
-5.89	2.417	466.1580056429002	P	B	3
14.459999999999999	2.052	328.3431739496021	Q	A	3
-27.3	-2.396	528.9480025261463	P	C	2
18.63	-1.776	794.0956500180043	P	A	2
-16.299999999999997	-2.255	503.70906085366164	Q	A	0
4.55	-0.752	690.5257749725141	P	A	2
-22.53	-1.753	550.5110922024577	Q	C	2
-26.12	-2.125	553.4853842011222	P	C	2
